trial,accuracy,kappa,bands,status;;;;;;;;;;;;;;
53,56.00,0.281,TNR;TCB;GLCM_SR_B6_ent_3;GLCM_SR_B6_var_3;Clay_Ratio;WDI;NDWI;GLCM_SR_B6_idm_7;GLCM_SR_B6_contrast_3;GLCM_SR_B6_idm_3;TCW;GLCM_SR_B5_contrast_3;NDVI;GLCM_SR_B6_ent_7;TCI,OK
54,55.67,0.279,NDVI;NBLI;BSI;Open_3;TNDI;GLCM_SR_B6_ent_3;NDWI;GLCM_SR_B7_contrast_3;Close_3;NDMI;GLCM_SR_B5_var_3;GLCM_SR_B6_idm_3;WDI;GLCM_SR_B6_var_3;GLCM_SR_B5_contrast_3,OK
55,55.67,0.279,NDBI;NDWI;TNR;TCB;Fe_Composite_Index;GLCM_SR_B6_ent_3;GLCM_SR_B6_idm_7;TCG;Clay_Index;TCI;GLCM_SR_B5_contrast_3;Fe_Oxide_Index;GLCM_SR_B6_var_3;TNDI;GLCM_SR_B6_idm_3,OK
56,59.00,0.304,GLCM_SR_B5_contrast_3;Open_3;BSI;Fe_Oxide_Index;NDBI;NDWI;Close_3;EVI;GLCM_SR_B6_ent_3;TCB;Fe_Composite_Index;GLCM_SR_B6_contrast_7;Clay_Index;GLCM_SR_B6_var_3;NDMI,OK
57,55.33,0.279,GLCM_SR_B6_contrast_7;GLCM_SR_B6_idm_3;MNDWI;SAVI;EVI;BSI;TCB;NBLI;NDBI;Clay_Ratio;GLCM_SR_B6_var_3;GLCM_SR_B6_contrast_3;Fe_Composite_Index;GLCM_SR_B5_contrast_3;NDMI,OK
58,56.33,0.284,NDWI;NDVI;GLCM_SR_B6_idm_3;WDI;NDBI;Granulo_7;GLCM_SR_B5_var_3;GLCM_SR_B5_contrast_7;NDMI;EVI;Close_3;GLCM_SR_B5_contrast_3;GLCM_SR_B6_contrast_7;TNR;GLCM_SR_B6_idm_7,OK
59,56.33,0.284,TCB;BSI;GLCM_SR_B6_idm_3;TNDI;NDWI;Fe_Oxide_Index;SAVI;Granulo_7;Clay_Ratio;NDVI;NDBI;GLCM_SR_B6_ent_3;TNR;GLCM_SR_B6_contrast_7;MNDWI,OK
60,56.33,0.284,GLCM_SR_B6_contrast_7;MNDWI;GLCM_SR_B6_ent_3;TCW;GLCM_SR_B6_contrast_3;Fe_Oxide_Index;SAVI;NDWI;GLCM_SR_B5_contrast_3;Granulo_7;Fe_Composite_Index;TNR;GLCM_SR_B6_var_3;NDBI;GLCM_SR_B6_idm_7,OK
61,56.00,0.281,BSI;TCW;MNDWI;GLCM_SR_B7_contrast_3;Close_3;NBLI;EVI;TNDI;GLCM_SR_B5_contrast_7;Granulo_7;NDMI;NDVI;Open_3;Clay_Index;GLCM_SR_B6_contrast_7,OK
62,55.67,0.280,EVI;NDMI;GLCM_SR_B6_contrast_7;TNDI;MNDWI;GLCM_SR_B6_idm_3;GLCM_SR_B6_var_3;GLCM_SR_B7_contrast_3;SAVI;TCG;Close_3;NDBI;TCB;TNR;Clay_Index,OK
